"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827268923.552295","851756848.777178","911249100.113065","951378595.264116","1019808051.0988","1114847585.94547","1198439273.28363","1285423168.08347","1376766814.77139","1508152338.48854","1593597378.5948","1764518791.51334","1989458177.16496","2184936045.71166","2378580863.14402","2631404630.98","2900801762.11939","3525644809.26293","3766726573.09193","4051571320.42925","4588418545.30904","5058193225.03562","5551018263.98396","5674556893.9944","6231640988.1671","6915381146.16075","7703914681.55542","8307416844.22731","8766772471.38418","9436822154.78967","8585010271.17479",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7038747941.05542","7819535585.99953","8231035365.93548","8587592705.20048","9089177773.72257","9932174626.90719","10703657255.5928","11802166942.389","11987953987.0706","13336673163.4289","13905829653.1517","14246452305.6117","15350167629.2162","16358504370.5991","17253458567.4908","18601561847.1099","20767375838.8839","23090285672.4291","25009562004.7458","23271823208.186","25559133702.5797","27671240750.1864","26701761149.1743","29222392061.6123","32797318372.1494","31046345793.2204","35937956386.5053","35166622661.948","37444345486.3431","39253399419.9971","36339017034.7772",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1782370844.527","1832464962.82366","1753823503.86582","1801414600.04777","1930035742.97084","2112384054.89276","2065016683.32829","2213344226.10028","2343457079.34914","2462873910.50581","2455248639.60648","2621127572.36473","2758881202.53287","2658440643.58652","2893672534.09782","3010908030.21931","3250024496.71239","3491097826.2955","3632110885.70067","3974076863.97219","4206561537.35153","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458785448.52118","4674532971.27166","4768313594.21002",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755132917115.608","793403843947.605","846412945809.995","901023409796.483","937268402696.171","971003788233.131","1023161640591.75","1083140946889.99","1171326187910.13","1241168772361.08","1300941860599.35","1342395839240.43","1307952843797.37","1364078564170.92","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1862154210814.04","1904502554626.31","1827709602976.19",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785095851239.007","733904690320.645","736073268182.276","765124655413.232","813272988492.126","876433616745.033","918936044904.75","952432989586.542","993820243247.585","1024880646646.37","1086616186456.79","1163091097548.61","1243984513052.41","1314392851575.73","1432482981039.89","1517696203224.92","1681718191583.86","1869074048912.58","2065491451901.65","2065904342367.12","2174574210823.84","2311349400522.57","2387970738859.34","2485412590336.15","2585786880567.82","2699166851100.6","2870961006027.17","3072061808678.62","3273869390662.05","3503122564166.66","3464868933523.6",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190833716454.517","195480481294.257","199847875646.407","204325091404.06","211338007280.641","216807014492.423","222517397785.203","232229967565.528","241055729092.289","248740021832.269","264299176951.741","274106112999.532","282753110962.942","284759587843.575","297823953215.462","310493723866.738","347559432950.507","386208985823.934","413714805073.377","413468717749.731","429589963848.447","458820195091.514","479280657897.069","503360260789.332","524917052399.004","546805476343.839","570267482220.765","584052319305.968","610234859334.17","627228206512.645","619788720021.624",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59884081815.8211","66835784908.9752","77143487279.5689","85334370561.9126","93055581461.6072","105725664939.662","116867752281.941","127713472086.193","134736166650.505","136118236224.561","146574191533.23","154736780240.43","162067995583.661","171831210284.975","189179004768.143","206274402670.143","257648250741.941","280051852457.153","275716447509.986","272874099668.727","309886433252.476","350575241993.673","374241571983.029","394291936706.766","404667282590.142","407878247566.655","426776809813.223","451984540685.81","463368859361.469","492274023113.372","479199231790.661",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1114609270737.99","1259038032531.46","1470903969296.07","1714826334398.25","1979777658965.89","2242702993468.48","2510374158399.84","2791287913776.8","3044172457140.99","3324725650183.3","3687631479659.45","4082650449958.1","4526020825779.07","5072833908567.97","5736264892179.38","6588930215901.39","7651864506954.52","8975592720883.64","10033234295495.5","11059907750616.4","12378807960428.5","13844365195917.5","15124538193948.2","16185063329894.8","17121277216284.5","17796747505545.6","18712096136720.3","19887033884256.7","21739076706358.4","23443654490268.2","24274130797200.8",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32843699496.2983","33968290991.9546","34657431662.3226","35410638834.9499","36460193559.4812","39877266687.4945","43746086042.3386","48824806923.2655","51479615503.0186","52832247895.5368","53869737616.6812","53865517568.3418","53223465417.1264","51649894913.9232","54729777290.3033","56996703699.6896","60374891720.3886","62679580137.0632","66954845760.0908","69896266859.4558","75553039449.7989","72988975597.0539","76678492637.2411","85419539319.6478","97828400548.5845","108068702923.226","112609566975.11","118051344947.092","129215106318.266","139717847785.103","144117158362.072",
